category,period,amount,actual_roi,month,quarter,month_sin,month_cos,amount_lag_1,amount_lag_2,amount_lag_3,rolling_3m_avg,rolling_6m_avg,roi_lag_1,mom_growth,spend_ratio,category_encoded
Marketing,2025-11,209320.8,1.36,11,4,-0.5000000000000004,0.8660254037844384,209223.79,218817.74,231555.18,219865.56999999998,226301.77333333335,1.36,-4.384447988540592,0.10940095861258714,6
Marketing,2025-12,219777.82,1.36,12,4,-2.4492935982947064e-16,1.0,209320.8,209223.79,218817.74,212454.11,223960.71,1.36,0.04636662016302267,0.1083076425330786,6
Operations,2024-04,196097.42,1.01,4,2,0.8660254037844387,-0.4999999999999998,184048.1,170853.48,163862.13,172921.23666666666,172921.23666666666,1.02,7.722769240638233,0.10728486501483538,7
Operations,2024-05,200347.6,1.01,5,2,0.49999999999999994,-0.8660254037844387,196097.42,184048.1,170853.48,183666.33333333334,178715.2825,1.01,6.5468320509692886,0.11412246422193308,7
Operations,2024-06,194875.66,1.02,6,2,1.2246467991473532e-16,-1.0,200347.6,196097.42,184048.1,193497.7066666667,183041.74599999998,1.01,2.167381906401417,0.1159041950769128,7
Operations,2024-07,183655.91,1.04,7,3,-0.4999999999999997,-0.8660254037844388,194875.66,200347.6,196097.42,197106.89333333334,185014.06500000003,1.02,-2.7312231341927737,0.11159725258029439,7
Operations,2024-08,174149.21,1.06,8,3,-0.8660254037844384,-0.5000000000000004,183655.91,194875.66,200347.6,192959.7233333333,188313.02833333332,1.04,-5.757389096206269,0.10394796789705556,7
Operations,2024-09,172777.32,1.08,9,3,-1.0,-1.8369701987210297e-16,174149.21,183655.91,194875.66,184226.92666666667,188862.31666666668,1.06,-5.176364866232735,0.09761885539139052,7
Operations,2024-10,181027.52,1.09,10,4,-0.8660254037844386,0.5000000000000001,172777.32,174149.21,183655.91,176860.81333333332,186983.8533333333,1.08,-0.787766995899657,0.09633471393858421,7
Operations,2024-11,194550.46,1.09,11,4,-0.5000000000000004,0.8660254037844384,181027.52,172777.32,174149.21,175984.68333333335,184472.20333333334,1.09,4.775048021349089,0.10080464401546431,7
Operations,2024-12,205798.42,1.08,12,4,-2.4492935982947064e-16,1.0,194550.46,181027.52,172777.32,182785.1,183506.0133333333,1.09,7.470101783419452,0.10834251003268483,7
Operations,2025-01,208603.66,1.07,1,1,0.49999999999999994,0.8660254037844387,205798.42,194550.46,181027.52,193792.1333333333,185326.47333333336,1.08,5.781512929858928,0.11437096553043817,7
Operations,2025-02,201919.66,1.05,2,1,0.8660254037844386,0.5000000000000001,208603.66,205798.42,194550.46,202984.18000000002,189484.43166666667,1.07,1.3631008440200807,0.11519606340761626,7
Operations,2025-03,190455.97,1.03,3,1,1.0,6.123233995736766e-17,201919.66,208603.66,205798.42,205440.58,194112.84,1.05,-3.204162381427057,0.11037946690060682,7
Operations,2025-04,181821.41,1.01,4,2,0.8660254037844387,-0.4999999999999998,190455.97,201919.66,208603.66,200326.43000000002,197059.28166666665,1.03,-5.677352071611057,0.10296165136856937,7
Operations,2025-05,181908.72,1.01,5,2,0.49999999999999994,-0.8660254037844387,181821.41,190455.97,201919.66,191399.01333333334,197191.59666666668,1.01,-4.5336252783254825,0.097439257019369,7
Operations,2025-06,191320.04,1.01,6,2,1.2246467991473532e-16,-1.0,181908.72,181821.41,190455.97,184728.69999999998,195084.64,1.01,0.04801964741115893,0.09705240059289506,7
Operations,2025-07,205001.7,1.03,7,3,-0.4999999999999997,-0.8660254037844388,191320.04,181908.72,181821.41,185016.72333333336,192671.57666666666,1.01,5.173649729380761,0.10198740531503958,7
Operations,2025-08,215309.71,1.05,8,3,-0.8660254037844384,-0.5000000000000004,205001.7,191320.04,181908.72,192743.48666666666,192071.25,1.03,7.151190225550865,0.10927747690739523,7
Operations,2025-09,216646.48,1.07,9,3,-1.0,-1.8369701987210297e-16,215309.71,205001.7,191320.04,203877.15000000002,194302.92500000002,1.05,5.028255863244051,0.11448652588390644,7
Operations,2025-10,208856.26,1.08,10,4,-0.8660254037844386,0.5000000000000001,216646.48,215309.71,205001.7,212319.29666666666,198668.01,1.07,0.6208591335709006,0.11442735102035151,7
Operations,2025-11,197319.6,1.09,11,4,-0.5000000000000004,0.8660254037844384,208856.26,216646.48,215309.71,213604.15,203173.81833333336,1.08,-3.595821173738895,0.10920878097199051,7
Operations,2025-12,189689.6,1.09,12,4,-2.4492935982947064e-16,1.0,197319.6,208856.26,216646.48,207607.44666666668,205742.29833333334,1.09,-5.523731967622136,0.10209793150785808,7
R&D,2024-04,242427.11,1.59,4,2,0.8660254037844387,-0.4999999999999998,230968.5,232873.9,246077.65,236640.0166666667,236640.0166666667,1.58,-0.8182110575723576,0.13463558898559128,8
R&D,2024-05,261208.97,1.59,5,2,0.49999999999999994,-0.8660254037844387,242427.11,230968.5,232873.9,235423.17,238086.78999999998,1.59,4.961113744947898,0.1410848709146792,8
R&D,2024-06,276831.14,1.58,6,2,1.2246467991473532e-16,-1.0,261208.97,242427.11,230968.5,244868.19333333333,242711.22599999997,1.59,7.747425607639351,0.151113441911555,8
R&D,2024-07,280727.3,1.57,7,3,-0.4999999999999997,-0.8660254037844388,276831.14,261208.97,242427.11,260155.74,248397.87833333333,1.58,5.980717277817838,0.15852977561523507,8
R&D,2024-08,271443.97,1.55,8,3,-0.8660254037844384,-0.5000000000000004,280727.3,276831.14,261208.97,272922.47,254172.82000000004,1.57,1.4074139202692204,0.15888969959217258,8
R&D,2024-09,255522.18,1.53,9,3,-1.0,-1.8369701987210297e-16,271443.97,280727.3,276831.14,276334.13666666666,260601.165,1.55,-3.3068853652637333,0.15215716255212955,8
R&D,2024-10,243529.74,1.51,10,4,-0.8660254037844386,0.5000000000000001,255522.18,271443.97,280727.3,269231.14999999997,264693.445,1.53,-5.865589867404305,0.14247041287168608,8
R&D,2024-11,243651.0,1.51,11,4,-0.5000000000000004,0.8660254037844384,243529.74,255522.18,271443.97,256831.9633333333,264877.2166666667,1.51,-4.693306858919255,0.13560882206130084,8
R&D,2024-12,256722.27,1.51,12,4,-2.4492935982947064e-16,1.0,243651.0,243529.74,255522.18,247567.63999999998,261950.88833333334,1.51,0.049792686511310406,0.13568593418886643,8
R&D,2025-01,275724.59,1.53,1,1,0.49999999999999994,0.8660254037844387,256722.27,243651.0,243529.74,247967.67,258599.41,1.51,5.3647512220347915,0.14267152242017134,8
R&D,2025-02,290041.27,1.55,2,1,0.8660254037844386,0.5000000000000001,275724.59,256722.27,243651.0,258699.28666666665,257765.625,1.53,7.401897778482574,0.15226188913789432,8
R&D,2025-03,291897.89,1.57,3,1,1.0,6.123233995736766e-17,290041.27,275724.59,256722.27,274162.71,260865.17499999996,1.55,5.192384183071953,0.15855118199869675,8
R&D,2025-04,281078.14,1.58,4,2,0.8660254037844387,-0.4999999999999998,291897.89,290041.27,275724.59,285887.9166666667,266927.79333333333,1.57,0.6401226970217014,0.15780176796453801,8
R&D,2025-05,265055.0,1.59,5,2,0.49999999999999994,-0.8660254037844387,281078.14,291897.89,290041.27,287672.43333333335,273185.86000000004,1.58,-3.7066900346556118,0.15063157372933245,8
R&D,2025-06,254457.78,1.59,6,2,1.2246467991473532e-16,-1.0,265055.0,281078.14,291897.89,279343.6766666667,276753.19333333336,1.59,-5.700599840314872,0.1414128142903199,8
R&D,2025-07,256624.49,1.58,7,3,-0.4999999999999997,-0.8660254037844388,254457.78,265055.0,281078.14,266863.64,276375.7783333333,1.59,-3.9981211446680884,0.1356443828070764,8
R&D,2025-08,271150.71,1.56,8,3,-0.8660254037844384,-0.5000000000000004,256624.49,254457.78,265055.0,258712.42333333334,273192.42833333334,1.58,0.8515007872818791,0.1367953376964536,8
R&D,2025-09,290134.91,1.54,9,3,-1.0,-1.8369701987210297e-16,271150.71,256624.49,254457.78,260744.32666666666,270044.00166666665,1.56,5.660496392998201,0.144178833266993,8
R&D,2025-10,302971.41,1.52,10,4,-0.8660254037844386,0.5000000000000001,290134.91,271150.71,256624.49,272636.7033333333,269750.1716666667,1.54,7.0013462254994465,0.15324213525106933,8
R&D,2025-11,302783.64,1.51,11,4,-0.5000000000000004,0.8660254037844384,302971.41,290134.91,271150.71,288085.67666666664,273399.05,1.52,4.424321085663218,0.15842062074397545,8
R&D,2025-12,290595.38,1.51,12,4,-2.4492935982947064e-16,1.0,302783.64,302971.41,290134.91,298629.98666666663,279687.1566666667,1.51,-0.061976144877815505,0.1566675755394799,8
Sales,2024-04,211460.92,1.24,4,2,0.8660254037844387,-0.4999999999999998,202915.94,206335.31,218844.19,209365.14666666664,209365.14666666664,1.26,-1.657190909301949,0.11828325982315728,9
Sales,2024-05,227587.67,1.22,5,2,0.49999999999999994,-0.8660254037844387,211460.92,202915.94,206335.31,206904.05666666667,209889.09,1.24,4.211093519809243,0.1230635327942461,9
Sales,2024-06,242314.62,1.21,6,2,1.2246467991473532e-16,-1.0,227587.67,211460.92,202915.94,213988.17666666667,213428.806,1.22,7.626350060332661,0.13166299821300606,9
Sales,2024-07,247509.29,1.21,7,3,-0.4999999999999997,-0.8660254037844388,242314.62,227587.67,211460.92,227121.06999999998,218243.1083333333,1.21,6.470890975772098,0.13876358829028754,9
Sales,2024-08,240821.36,1.22,8,3,-0.8660254037844384,-0.5000000000000004,247509.29,242314.62,227587.67,239137.19333333333,223020.625,1.21,2.1437707720648524,0.14008853693378567,9
Sales,2024-09,227108.33,1.24,9,3,-1.0,-1.8369701987210297e-16,240821.36,247509.29,242314.62,243548.42333333334,228768.30000000002,1.22,-2.7020925153960977,0.13499174367198105,9
Sales,2024-10,215489.04,1.26,10,4,-0.8660254037844386,0.5000000000000001,227108.33,240821.36,247509.29,238479.66,232800.365,1.24,-5.694274793564824,0.12662782362650132,9
Sales,2024-11,213812.28,1.28,11,4,-0.5000000000000004,0.8660254037844384,215489.04,227108.33,240821.36,227806.24333333332,233471.7183333333,1.26,-5.116188384635641,0.11999444043885786,9
Sales,2024-12,223895.86,1.29,12,4,-2.4492935982947064e-16,1.0,213812.28,215489.04,227108.33,218803.21666666665,231175.81999999998,1.28,-0.7781184602242458,0.11906915609971427,9
Sales,2025-01,240423.89,1.29,1,1,0.49999999999999994,0.8660254037844387,223895.86,213812.28,215489.04,217732.3933333333,228106.02666666664,1.29,4.716090207728007,0.12442848534244241,9
Sales,2025-02,254171.4,1.28,2,1,0.8660254037844386,0.5000000000000001,240423.89,223895.86,213812.28,226044.01,226925.12666666668,1.29,7.3820168001320035,0.13276797577351115,9
Sales,2025-03,257600.02,1.27,3,1,1.0,6.123233995736766e-17,254171.4,240423.89,223895.86,239497.05000000002,229150.13333333333,1.28,5.7180299345460135,0.1389429025057832,9
Sales,2025-04,249430.69,1.25,4,2,0.8660254037844387,-0.4999999999999998,257600.02,254171.4,240423.89,250731.77000000002,234232.0816666667,1.27,1.3489401246560375,0.13926013162925005,9
Sales,2025-05,235419.51,1.23,5,2,0.49999999999999994,-0.8660254037844387,249430.69,257600.02,254171.4,253734.03666666665,239889.02333333335,1.25,-3.1713235115432012,0.13367150277532527,9
Sales,2025-06,224866.17,1.21,6,2,1.2246467991473532e-16,-1.0,235419.51,249430.69,257600.02,247483.40666666665,243490.22833333336,1.23,-5.61726385794787,0.1256016126764185,9
Sales,2025-07,224972.88,1.21,7,3,-0.4999999999999997,-0.8660254037844388,224866.17,235419.51,249430.69,236572.12333333332,243651.94666666666,1.21,-4.482780547797417,0.11986991650969021,9
Sales,2025-08,236475.6,1.21,8,3,-0.8660254037844384,-0.5000000000000004,224972.88,224866.17,235419.51,228419.52000000002,241076.77833333335,1.21,0.04745489283692244,0.1199232430706194,9
Sales,2025-09,253197.64,1.23,9,3,-1.0,-1.8369701987210297e-16,236475.6,224972.88,224866.17,228771.55000000002,238127.4783333333,1.21,5.112936279252859,0.12574105413226513,9
Sales,2025-10,265796.32,1.25,10,4,-0.8660254037844386,0.5000000000000001,253197.64,236475.6,224972.88,238215.37333333332,237393.74833333338,1.23,7.071359582130253,0.13373277622514151,9
Sales,2025-11,267430.15,1.27,11,4,-0.5000000000000004,0.8660254037844384,265796.32,253197.64,236475.6,251823.18666666668,240121.35333333336,1.25,4.975828368700432,0.13898215018329402,9
Sales,2025-12,257908.76,1.28,12,4,-2.4492935982947064e-16,1.0,267430.15,265796.32,253197.64,262141.37000000002,245456.46,1.27,0.614692483327089,0.13837482509510568,9
